in:Config,in:VertDyn,in:HghtMstr,in:Prog,out:# Woningen,out:PP Balans,out:Opbr/Kosten (%),out:Kosten BVO (€),out:Opbr GO (€),out:GO/BVO,img
4,2,6,3,848,163,82 %,189.691.836,344.740.333,0.724,Config4_VertDyn2_HghtMstr6_Prog3_Birdseye_AL3.png
0,3,6,3,957,69,84 %,209.517.284,385.073.691,0.723,Config0_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
1,3,6,3,900,-185,85 %,197.011.792,364.144.382,0.722,Config1_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
2,3,6,3,965,120,85 %,212.878.405,393.688.489,0.724,Config2_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
3,3,6,3,1011,89,83 %,224.925.650,411.686.631,0.729,Config3_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
4,3,6,3,955,86,85 %,209.807.314,387.194.866,0.725,Config4_VertDyn3_HghtMstr6_Prog3_Birdseye_AL3.png
0,2,7,3,1015,29,85 %,220.594.500,408.187.048,0.724,Config0_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
1,2,7,3,866,-163,84 %,191.270.952,352.313.162,0.722,Config1_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
2,2,7,3,1029,70,87 %,226.389.711,422.386.124,0.723,Config2_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
3,2,7,3,1032,75,83 %,228.819.187,419.755.953,0.729,Config3_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
4,2,7,3,1001,50,85 %,220.148.559,408.213.418,0.725,Config4_VertDyn2_HghtMstr7_Prog3_Birdseye_AL3.png
0,3,7,3,1044,7,86 %,226.621.141,420.472.442,0.723,Config0_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
1,3,7,3,947,-219,86 %,206.140.088,383.409.728,0.722,Config1_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
2,3,7,3,1055,55,87 %,230.571.525,430.748.704,0.723,Config2_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
3,3,7,3,1164,-21,86 %,255.000.393,474.675.336,0.73,Config3_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
4,3,7,3,1026,34,86 %,224.329.755,417.087.655,0.726,Config4_VertDyn3_HghtMstr7_Prog3_Birdseye_AL3.png
0,2,6,4,952,285,83 %,177.196.299,324.484.445,0.738,Config0_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
1,2,6,4,864,342,80 %,163.978.501,294.808.267,0.733,Config1_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
2,2,6,4,972,320,82 %,179.973.597,327.012.916,0.736,Config2_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
3,2,6,4,1004,451,82 %,189.494.267,344.460.201,0.736,Config3_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
4,2,6,4,867,287,82 %,164.529.472,299.832.523,0.735,Config4_VertDyn2_HghtMstr6_Prog4_Birdseye_AL3.png
0,3,6,4,1066,212,87 %,195.075.595,364.003.479,0.739,Config0_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
1,3,6,4,1019,244,85 %,188.101.197,347.374.633,0.735,Config1_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
2,3,6,4,1083,249,85 %,197.333.987,364.859.940,0.737,Config2_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
3,3,6,4,1036,430,83 %,194.771.967,355.752.491,0.736,Config3_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
4,3,6,4,978,215,86 %,181.967.924,338.374.933,0.736,Config4_VertDyn3_HghtMstr6_Prog4_Birdseye_AL3.png
0,2,7,4,1137,169,88 %,205.897.993,387.163.418,0.739,Config0_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
1,2,7,4,973,273,83 %,180.786.740,331.182.410,0.734,Config1_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
2,2,7,4,1156,206,87 %,208.224.597,388.374.352,0.737,Config2_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
3,2,7,4,1057,418,83 %,197.503.169,361.760.955,0.737,Config3_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
4,2,7,4,1026,188,87 %,189.063.716,353.036.438,0.736,Config4_VertDyn2_HghtMstr7_Prog4_Birdseye_AL3.png
0,3,7,4,1166,150,89 %,210.766.229,397.848.702,0.739,Config0_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
1,3,7,4,1073,209,86 %,196.545.270,365.981.027,0.735,Config1_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
2,3,7,4,1188,185,87 %,213.460.963,399.718.660,0.737,Config2_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
3,3,7,4,1198,329,87 %,219.626.334,409.841.855,0.737,Config3_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
4,3,7,4,1052,170,88 %,193.490.932,362.724.654,0.736,Config4_VertDyn3_HghtMstr7_Prog4_Birdseye_AL3.png
0,2,6,5,998,298,82 %,173.974.986,316.706.899,0.736,Config0_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
1,2,6,5,885,329,79 %,158.926.475,285.046.494,0.73,Config1_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
2,2,6,5,982,325,83 %,174.236.559,318.753.530,0.733,Config2_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
3,2,6,5,1064,452,81 %,191.877.321,348.048.149,0.737,Config3_VertDyn2_HghtMstr6_Prog5_Birdseye_AL3.png
