in:Config,in:VertDyn,in:HghtMstr,in:HghtPortiek(en),out:# Woningen,out:PB_tot,out:PB_E1,out:PB_E2,out:PB_NormBloksPos,out:PB E1Bb+Bc+Pa,out:PB_probsolved,out:PB_E1Ba,out:PB_E1Bb,out:PB_E1Bc,out:PB_E2Ba,out:PB_E2Bb,out:PB_E2Bc,out:PB_E1Pa,img
2,4,6,2,1195,197,0,197,True,-22,False,22,62,-47,78,57,62,-37,Config2_VertDyn4_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
3,4,6,2,1183,380,253,127,False,38,False,215,38,78,45,78,-37,-37,Config3_VertDyn4_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
4,4,6,2,1127,196,-16,212,False,-1,False,22,36,78,57,77,-37,-37,Config4_VertDyn4_HghtMstr6_HghtPortiek(en)2_Birdseye_AL3.png
0,2,7,2,1135,210,-63,273,False,-61,False,-2,34,-58,78,70,125,-37,Config0_VertDyn2_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
1,2,7,2,1015,250,-32,282,True,-54,False,22,30,-47,71,100,111,-37,Config1_VertDyn2_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
2,2,7,2,1183,205,-49,254,False,-47,False,-2,37,-47,78,74,102,-37,Config2_VertDyn2_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
3,2,7,2,1148,400,217,183,False,38,False,179,38,78,59,120,-37,-37,Config3_VertDyn2_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
4,2,7,2,1107,208,-62,270,False,-23,False,-2,14,78,78,114,-37,-37,Config4_VertDyn2_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
0,3,7,2,1167,191,-63,254,False,-61,False,-2,34,-58,78,70,106,-37,Config0_VertDyn3_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
1,3,7,2,1114,192,-53,245,True,-75,False,22,30,-68,71,83,91,-37,Config1_VertDyn3_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
2,3,7,2,1216,186,-49,235,False,-47,False,-2,37,-47,78,74,83,-37,Config2_VertDyn3_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
3,3,7,2,1295,314,195,119,False,16,False,179,16,48,45,100,-37,-37,Config3_VertDyn3_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
4,3,7,2,1138,190,-62,252,False,-23,False,-2,14,78,78,96,-37,-37,Config4_VertDyn3_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
0,4,7,2,1285,122,-63,185,False,-61,False,-2,34,-58,48,50,87,-37,Config0_VertDyn4_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
1,4,7,2,1268,101,-77,178,False,-75,False,-2,30,-68,43,65,70,-37,Config1_VertDyn4_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
2,4,7,2,1329,118,-49,167,False,-47,False,-2,37,-47,48,57,62,-37,Config2_VertDyn4_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
3,4,7,2,1331,292,195,97,False,16,False,179,16,48,45,78,-37,-37,Config3_VertDyn4_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
4,4,7,2,1257,120,-62,182,False,-23,False,-2,14,48,57,77,-37,-37,Config4_VertDyn4_HghtMstr7_HghtPortiek(en)2_Birdseye_AL3.png
0,2,6,4,970,303,-21,324,True,-43,False,22,48,-42,108,91,125,-49,Config0_VertDyn2_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
1,2,6,4,917,306,-5,311,True,-52,False,47,44,-47,100,100,111,-49,Config1_VertDyn2_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
2,2,6,4,1014,302,1,301,True,-21,False,22,62,-34,108,91,102,-49,Config2_VertDyn2_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
3,2,6,4,1120,412,253,159,False,38,False,215,38,78,59,120,-49,-49,Config3_VertDyn2_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
4,2,6,4,971,282,-40,322,False,-13,False,22,36,108,100,114,-49,-49,Config4_VertDyn2_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
0,3,6,4,1089,233,-21,254,True,-43,False,22,48,-42,78,70,106,-49,Config0_VertDyn3_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
1,3,6,4,1072,215,-30,245,True,-52,False,22,44,-47,71,83,91,-49,Config1_VertDyn3_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
2,3,6,4,1127,236,1,235,True,-21,False,22,62,-34,78,74,83,-49,Config2_VertDyn3_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
3,3,6,4,1155,392,253,139,False,38,False,215,38,78,59,100,-49,-49,Config3_VertDyn3_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
4,3,6,4,1091,212,-40,252,False,-13,False,22,36,78,78,96,-49,-49,Config4_VertDyn3_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
0,4,6,4,1185,178,-37,215,True,-59,False,22,48,-58,78,50,87,-49,Config0_VertDyn4_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
1,4,6,4,1136,176,-30,206,True,-52,False,22,44,-47,71,65,70,-49,Config1_VertDyn4_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
2,4,6,4,1211,185,-12,197,True,-34,False,22,62,-47,78,57,62,-49,Config2_VertDyn4_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
3,4,6,4,1215,356,253,103,False,38,False,215,38,78,45,78,-49,-49,Config3_VertDyn4_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
4,4,6,4,1159,172,-40,212,False,-13,False,22,36,78,57,77,-49,-49,Config4_VertDyn4_HghtMstr6_HghtPortiek(en)4_Birdseye_AL3.png
0,2,7,4,1151,198,-75,273,False,-73,False,-2,34,-58,78,70,125,-49,Config0_VertDyn2_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
1,2,7,4,1031,238,-44,282,True,-66,False,22,30,-47,71,100,111,-49,Config1_VertDyn2_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
2,2,7,4,1199,193,-61,254,False,-59,False,-2,37,-47,78,74,102,-49,Config2_VertDyn2_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
3,2,7,4,1180,376,217,159,False,38,False,179,38,78,59,120,-49,-49,Config3_VertDyn2_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
4,2,7,4,1139,184,-86,270,False,-35,False,-2,14,78,78,114,-49,-49,Config4_VertDyn2_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
0,3,7,4,1183,179,-75,254,False,-73,False,-2,34,-58,78,70,106,-49,Config0_VertDyn3_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
1,3,7,4,1130,180,-65,245,True,-87,False,22,30,-68,71,83,91,-49,Config1_VertDyn3_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
2,3,7,4,1232,174,-61,235,False,-59,False,-2,37,-47,78,74,83,-49,Config2_VertDyn3_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
3,3,7,4,1327,290,195,95,False,16,False,179,16,48,45,100,-49,-49,Config3_VertDyn3_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
4,3,7,4,1170,166,-86,252,False,-35,False,-2,14,78,78,96,-49,-49,Config4_VertDyn3_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
0,4,7,4,1301,110,-75,185,False,-73,False,-2,34,-58,48,50,87,-49,Config0_VertDyn4_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
1,4,7,4,1284,89,-89,178,False,-87,False,-2,30,-68,43,65,70,-49,Config1_VertDyn4_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
2,4,7,4,1345,106,-61,167,False,-59,False,-2,37,-47,48,57,62,-49,Config2_VertDyn4_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
3,4,7,4,1363,268,195,73,False,16,False,179,16,48,45,78,-49,-49,Config3_VertDyn4_HghtMstr7_HghtPortiek(en)4_Birdseye_AL3.png
