in:Variant,in:HghtAvgGal,in:HghtAvgCorridor(s),in:HghtAvgPortieken,out:# Woningen,out:PB_tot,out:PB_E1Ba,out:PB_E1Bb,out:PB_E2Ba,out:PB_E2Bb,out:PB_E2Bc,out:PB_E1_CombiBlok,out:PB_AllBlocksPos,img
Portiek,7,6,10,1325,-67,-44,-14,-20,20,-9,0,False,VariantPortiek_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL6.png
Portiek -P,7,6,10,1325,-398,-140,-111,-158,20,-9,0,False,VariantPortiek-P_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken10_Birdseye_AL6.png
Galerij,5,5,11,790,279,48,69,78,35,49,0,True,VariantGalerij_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL6.png
Portiek,5,5,11,1090,85,-18,25,-9,38,49,0,False,VariantPortiek_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL6.png
Portiek -P,5,5,11,1090,-246,-114,-72,-147,38,49,0,False,VariantPortiek-P_HghtAvgGal5_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL6.png
Galerij,6,5,11,910,194,29,55,54,20,36,0,True,VariantGalerij_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL6.png
Portiek,6,5,11,1171,29,-28,17,-19,23,36,0,False,VariantPortiek_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL6.png
Portiek -P,6,5,11,1171,-302,-124,-80,-157,23,36,0,False,VariantPortiek-P_HghtAvgGal6_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL6.png
Galerij,7,5,11,1030,110,10,42,30,5,23,0,True,VariantGalerij_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL6.png
Portiek,7,5,11,1253,-27,-38,10,-30,8,23,0,False,VariantPortiek_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL6.png
Portiek -P,7,5,11,1253,-358,-134,-87,-168,8,23,0,False,VariantPortiek-P_HghtAvgGal7_HghtAvgCorridor(s)5_HghtAvgPortieken11_Birdseye_AL6.png
Galerij,5,6,11,843,249,48,60,78,31,32,0,True,VariantGalerij_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL6.png
Portiek,5,6,11,1143,54,-18,15,-9,34,32,0,False,VariantPortiek_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL6.png
Portiek -P,5,6,11,1143,-277,-114,-82,-147,34,32,0,False,VariantPortiek-P_HghtAvgGal5_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL6.png
Galerij,6,6,11,963,164,29,46,54,16,19,0,True,VariantGalerij_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL6.png
Portiek,6,6,11,1225,0,-28,8,-19,20,19,0,False,VariantPortiek_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL6.png
Portiek -P,6,6,11,1225,-331,-124,-89,-157,20,19,0,False,VariantPortiek-P_HghtAvgGal6_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL6.png
Galerij,7,6,11,1084,79,10,33,30,1,5,0,True,VariantGalerij_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL6.png
Portiek,7,6,11,1306,-57,-38,1,-30,5,5,0,False,VariantPortiek_HghtAvgGal7_HghtAvgCorridor(s)6_HghtAvgPortieken11_Birdseye_AL6.png
