in:Config,in:Vert_Dyn,in:Hght_mstr,in:Programma,out:Winst GO (%),out:Bouwkosten (€),out:Opbr GO (€),out:PP Balans,out:PPb E1a,out:PPb E1b,out:PPb E1c,out:PPb E2a-1,out:PPb E2a-b,out:PPb E2b,out:PPb E2c,out:GO/BVO (+p),out:# Woningen,out:% GV1K81T,out:% GV2K54T,out:% GV3K69T,out:% GV4K81T,out:% GV4K54E01,img
4,2,7,1,90 %,177.648.810,338.131.216,120,-48,23,61,85,57,-26,-32,0.725,893,42,25,2,2,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr7_Prog1_Birdseye_AL3.png
0,3,7,1,93 %,182.430.429,351.866.716,-5,-48,-2,-52,61,19,43,-26,0.725,942,45,26,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr7_Prog1_Birdseye_AL3.png
1,3,7,1,90 %,177.808.728,338.330.079,100,30,32,-61,61,27,37,-26,0.724,910,46,26,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr7_Prog1_Birdseye_AL3.png
2,3,7,1,92 %,188.861.068,363.368.550,162,7,32,-40,61,60,68,-26,0.725,980,48,26,1,1,10,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr7_Prog1_Birdseye_AL3.png
3,3,7,1,90 %,208.754.975,396.799.316,275,180,-30,37,39,107,-26,-32,0.73,1053,42,29,2,2,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr7_Prog1_Birdseye_AL3.png
4,3,7,1,92 %,181.553.894,348.019.960,94,-48,23,61,85,42,-31,-38,0.726,936,40,2,25,2,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn3_Hght_mstr7_Prog1_Birdseye_AL3.png
0,2,6,2,90 %,177.732.368,338.430.625,299,24,16,-45,111,88,131,-26,0.741,919,40,47,1,1,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn2_Hght_mstr6_Prog2_Birdseye_AL3.png
1,2,6,2,88 %,163.084.399,305.876.346,115,49,49,-54,-107,96,108,-26,0.735,831,42,44,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr6_Prog2_Birdseye_AL3.png
2,2,6,2,90 %,176.110.421,334.641.704,309,24,54,-36,111,85,97,-26,0.737,911,43,43,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr6_Prog2_Birdseye_AL3.png
3,2,6,2,89 %,191.110.996,360.614.293,484,236,42,80,58,126,-26,-32,0.741,973,40,43,2,2,7,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr6_Prog2_Birdseye_AL3.png
4,2,6,2,89 %,169.511.814,320.268.367,329,24,37,111,104,111,-26,-32,0.739,860,38,45,2,2,7,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr6_Prog2_Birdseye_AL3.png
0,3,6,2,94 %,195.499.742,378.627.793,228,24,16,-45,80,68,111,-26,0.741,1028,40,47,1,1,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr6_Prog2_Birdseye_AL3.png
1,3,6,2,92 %,185.715.195,357.017.063,25,24,49,-54,-135,79,88,-26,0.736,971,42,44,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr6_Prog2_Birdseye_AL3.png
2,3,6,2,93 %,192.862.699,372.591.826,242,24,54,-36,80,68,78,-26,0.738,1014,43,44,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr6_Prog2_Birdseye_AL3.png
3,3,6,2,90 %,196.612.095,373.008.853,462,236,42,80,58,104,-26,-32,0.741,1006,40,44,2,2,7,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr6_Prog2_Birdseye_AL3.png
4,3,6,2,93 %,187.391.508,361.060.657,258,24,37,80,82,93,-26,-32,0.74,970,38,45,2,2,7,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn3_Hght_mstr6_Prog2_Birdseye_AL3.png
0,2,7,2,96 %,206.359.443,403.343.946,185,-1,-4,-63,80,68,131,-26,0.742,1097,41,47,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn2_Hght_mstr7_Prog2_Birdseye_AL3.png
1,2,7,2,91 %,179.849.234,343.718.739,49,24,36,-54,-135,96,108,-26,0.736,935,42,44,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr7_Prog2_Birdseye_AL3.png
2,2,7,2,95 %,203.909.293,397.490.988,198,-1,29,-49,80,68,97,-26,0.739,1084,43,43,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr7_Prog2_Birdseye_AL3.png
3,2,7,2,90 %,199.191.731,378.937.811,451,203,42,80,58,126,-26,-32,0.741,1024,40,43,2,2,7,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr7_Prog2_Birdseye_AL3.png
4,2,7,2,94 %,194.758.858,377.806.678,228,-1,14,80,82,111,-26,-32,0.741,1018,39,45,2,2,7,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr7_Prog2_Birdseye_AL3.png
0,3,7,2,96 %,211.476.655,414.729.706,165,-1,-4,-63,80,68,111,-26,0.742,1127,40,47,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr7_Prog2_Birdseye_AL3.png
1,3,7,2,94 %,195.004.666,377.820.896,-11,24,36,-77,-135,79,88,-26,0.737,1028,42,44,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr7_Prog2_Birdseye_AL3.png
2,3,7,2,96 %,208.817.525,408.439.444,179,-1,29,-49,80,68,78,-26,0.738,1113,43,44,1,1,9,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr7_Prog2_Birdseye_AL3.png
3,3,7,2,94 %,221.345.734,428.732.188,362,203,20,50,43,104,-26,-32,0.741,1160,40,44,2,2,8,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr7_Prog2_Birdseye_AL3.png
4,3,7,2,95 %,199.413.050,388.065.510,210,-1,14,80,82,93,-26,-32,0.74,1045,38,46,2,2,7,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn3_Hght_mstr7_Prog2_Birdseye_AL3.png
0,2,6,3,81 %,189.158.855,342.617.479,145,1,-1,-45,82,25,114,-31,0.721,852,24,21,1,26,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn2_Hght_mstr6_Prog3_Birdseye_AL3.png
1,2,6,3,81 %,171.500.108,310.620.742,-90,28,32,-59,-133,30,43,-31,0.721,768,20,25,1,26,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr6_Prog3_Birdseye_AL3.png
2,2,6,3,83 %,194.574.452,355.694.658,187,1,33,-30,82,60,72,-31,0.723,869,20,25,1,27,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr6_Prog3_Birdseye_AL3.png
3,2,6,3,82 %,218.532.362,398.183.193,113,169,15,-156,45,109,-31,-38,0.729,979,19,22,2,28,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr6_Prog3_Birdseye_AL3.png
4,2,6,3,82 %,189.691.836,344.740.333,163,1,15,82,86,48,-31,-38,0.724,848,22,20,2,25,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr6_Prog3_Birdseye_AL3.png
0,3,6,3,84 %,209.517.284,385.073.691,69,2,0,-45,45,6,92,-31,0.723,957,24,21,1,27,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr6_Prog3_Birdseye_AL3.png
1,3,6,3,85 %,197.011.792,364.144.382,-185,1,32,-57,-168,13,25,-31,0.722,900,20,25,1,26,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn3_Hght_mstr6_Prog3_Birdseye_AL3.png
2,3,6,3,85 %,212.878.405,393.688.489,120,2,34,-30,45,45,55,-31,0.724,965,20,25,1,27,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn3_Hght_mstr6_Prog3_Birdseye_AL3.png
3,3,6,3,83 %,224.925.650,411.686.631,89,169,15,-156,45,85,-31,-38,0.729,1011,19,22,2,28,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn3_Hght_mstr6_Prog3_Birdseye_AL3.png
4,3,6,3,85 %,209.807.314,387.194.866,86,2,15,45,61,32,-31,-38,0.725,955,22,20,2,25,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn3_Hght_mstr6_Prog3_Birdseye_AL3.png
0,2,7,3,85 %,220.594.500,408.187.048,29,-25,-20,-60,45,6,114,-31,0.724,1015,24,22,1,26,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn2_Hght_mstr7_Prog3_Birdseye_AL3.png
1,2,7,3,84 %,191.270.952,352.313.162,-163,0,22,-59,-168,30,43,-31,0.722,866,20,26,1,26,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config1_Vert_Dyn2_Hght_mstr7_Prog3_Birdseye_AL3.png
2,2,7,3,87 %,226.389.711,422.386.124,70,-25,4,-40,45,45,72,-31,0.723,1029,20,25,1,27,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config2_Vert_Dyn2_Hght_mstr7_Prog3_Birdseye_AL3.png
3,2,7,3,83 %,228.819.187,419.755.953,75,130,15,-155,45,109,-31,-38,0.729,1032,19,22,2,28,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config3_Vert_Dyn2_Hght_mstr7_Prog3_Birdseye_AL3.png
4,2,7,3,85 %,220.148.559,408.213.418,50,-25,-10,45,61,48,-31,-38,0.725,1001,22,21,2,25,2,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config4_Vert_Dyn2_Hght_mstr7_Prog3_Birdseye_AL3.png
0,3,7,3,86 %,226.621.141,420.472.442,7,-25,-20,-60,45,6,92,-31,0.723,1044,24,22,1,27,1,https://mkeheijmans.github.io/HeijmansDesignExplorer/Bazaar/Delivery2/Run2/Config0_Vert_Dyn3_Hght_mstr7_Prog3_Birdseye_AL3.png
